Farm_ID,Farm_Location_Lat,Farm_Location_Lon,Farm_Postcode,Farm_Street_Address,Farm_Phone_Number,Subscribed_To_Newsletter,Herd_Size,Farm_Type,Farm_Size_Acres,Biosecurity_Score,Cattle_Movement_In_Last_Year,Proximity_To_Other_Farms_Km,Land_Use_Composition_Woodland_Pct,Animal_ID,Animal_Age_Months,Breed,Sex,Origin_Type,Test_Date,Test_Result,Has_Disease_History_Farm,Avg_Rainfall_3M_Prior_MM,Avg_Temperature_3M_Prior_C,Diseased_Wildlife_Density_Score_Local,Proximity_To_Known_Diseased_Wildlife_Sett_Km,Test_Season
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_122,167,Charolais,Female,Purchased_From_Other_Farm,22/04/2021,Negative,FALSE,162,7.4,Low,47.3,April
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_016,109,Holstein,Male,Born_On_Farm,10/09/2022,Negative,FALSE,236,11.8,Low,47.3,September
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_051,72,Jersey,Female,Born_On_Farm,24/09/2022,Positive,FALSE,162,10.1,Low,47.3,September
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_233,105,Charolais,Female,Born_On_Farm,15/06/2022,Negative,FALSE,243,9.8,Low,47.3,June
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_165,138,Holstein,Female,Born_On_Farm,11/07/2021,Positive,FALSE,246,13.5,Low,47.3,July
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_029,12,Angus,Male,Born_On_Farm,28/08/2020,Negative,FALSE,347,10.6,Low,47.3,August
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_110,165,Limousin,Female,Born_On_Farm,17/04/2021,Negative,FALSE,103,11.2,Low,47.3,April
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_045,153,Limousin,Female,Born_On_Farm,18/03/2022,Negative,FALSE,117,10.9,Low,47.3,March
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_039,91,Jersey,Male,Born_On_Farm,25/11/2020,Negative,FALSE,185,10.3,Low,47.3,November
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_114,178,Holstein,Female,Born_On_Farm,15/05/2020,Negative,FALSE,146,4.2,Low,47.3,May
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_386,104,Jersey,Male,Born_On_Farm,16/12/2020,Positive,FALSE,124,6.4,High,6.5,December
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_358,98,Hereford,Male,Born_On_Farm,25/03/2020,Negative,FALSE,204,15.9,High,6.5,March
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_252,119,Holstein,Male,Born_On_Farm,06/11/2021,Negative,FALSE,105,9.3,High,6.5,November
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_287,178,Jersey,Male,Born_On_Farm,03/02/2022,Negative,FALSE,232,5.7,High,6.5,February
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_257,46,Jersey,Female,Purchased_From_Other_Farm,24/03/2022,Negative,FALSE,279,18,High,6.5,March
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_116,72,Charolais,Male,Born_On_Farm,25/11/2021,Negative,FALSE,302,16.7,High,6.5,November
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_269,52,Holstein,Female,Purchased_From_Other_Farm,13/03/2020,Negative,FALSE,343,17.8,High,6.5,March
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_300,50,Angus,Female,Purchased_From_Other_Farm,12/12/2022,Negative,FALSE,291,5.3,High,6.5,December
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_323,73,Hereford,Male,Purchased_From_Other_Farm,20/02/2021,Negative,FALSE,356,13.4,High,6.5,February
FARM_0001,54.598148969962764,-7.163194382,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_226,104,Jersey,Female,Born_On_Farm,24/09/2022,Negative,FALSE,318,4.2,High,6.5,September
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_057,97,Jersey,Female,Born_On_Farm,01/12/2020,Negative,FALSE,248,8.4,Low,72.1,December
